Error in 32:
Comments:

	Similar sentence 0: 7379406.6.txt Score: 0.9985352007544933
	Sentence: After ruling out a hydrotelluric source of fluorine, the patient's fluorosis was linked to chronic use of niflumic acid, following the publication in 1978 of the 2 previously reported cases affected by this drug.
	Gold labels: fluorosis
	Manual labels:
	Comments:

	Similar sentence 1: 12187348.4.txt Score: 0.9985306274766352
	Sentence: A 25-year-old woman with rheumatoid arthritis for the past 5 years started to develop gradual enlargement of her breasts 15 months before presentation.
	Gold labels: 
	Manual labels:
	Comments:

	Similar sentence 2: 16167682.1.txt Score: 0.998489104196017
	Sentence: We describe a case of a female who developed haemosiderosis, in the course of treatment for very severe unstable aplastic anaemia for fourteen years.
	Gold labels: 
	Manual labels:
	Comments:

	Similar sentence 3: 11712064.3.txt Score: 0.9984844614411049
	Sentence: We describe a patient who had a systemic allergic contact dermatitis to 8-MOP develop during her second course of PUVA treatment for psoriasis.
	Gold labels: systemic allergic contact dermatitis
	Manual labels:
	Comments:

	Similar sentence 4: 19875411.4.txt Score: 0.9984739414652593
	Sentence: In severe cardiogenic shock, the patient required an extracorporeal membrane-oxygenation system for 8 days until cardiac recovery.
	Gold labels: 
	Manual labels:
	Comments:

	Similar sentence 5: 11868077.2.txt Score: 0.9984539338840785
	Sentence: After surgical resection and extrabeam radiation therapy the patient is alive without evidence of recurrence five years after PEI.
	Gold labels: 
	Manual labels:
	Comments:

	Similar sentence 6: 672731.1.txt Score: 0.9984529690945648
	Sentence: A 53-year-old female was admitted to hospital one hour after taking an overdose of 60 g of paracetamol and 960 mg of codeine.
	Gold labels: 
	Manual labels:
	Comments:

	Similar sentence 7: 11476690.3.txt Score: 0.9984483757444153
	Sentence: RESULTS: A 9-year-old male who underwent orthokeratology treatment for 6 months suffered from a corneal ulcer.
	Gold labels: 
	Manual labels:
	Comments:

	Similar sentence 8: 9279731.4.txt Score: 0.9983801113612463
	Sentence: When the disease recurred conventional amphotericin B was used again, but had to be stopped because of severe side effects.
	Gold labels: 
	Manual labels:
	Comments:

	Similar sentence 9: 12680486.2.txt Score: 0.9983719187869544
	Sentence: She had a history of schizophrenia and was treated with olanzapine 5 mg/day and lithium carbonate 300 mg 3 times/day.
	Gold labels: 
	Manual labels:
	Comments:

Error in 127:
Comments:

	Similar sentence 0: 16355099.7.txt Score: 0.9976371374913194
	Sentence: The patient was positive for antibody against complexes of heparin and platelet factor 4, and was diagnosed as heparin-induced thrombocytopenia with thrombosis syndrome (HITTS).
	Gold labels: thrombocytopenia	thrombosis syndrome
	Manual labels:
	Comments:

	Similar sentence 1: 9205466.5.txt Score: 0.9975058426350228
	Sentence: CONCLUSIONS: The value of multihormonal therapy in breast carcinoma is not established, and the addition of progestogens to tamoxifen may not reduce of developing endometrial lesions, including carcinoma.
	Gold labels: carcinoma	endometrial lesions
	Manual labels:
	Comments:

	Similar sentence 2: 15235919.6.txt Score: 0.9973532951703594
	Sentence: The autopsy findings and a detailed medical history supported the conclusion that clozapine-induced hypersensitivity myocarditis was the most likely cause of death.
	Gold labels: hypersensitivity myocarditis
	Manual labels:
	Comments:

	Similar sentence 3: 11001600.3.txt Score: 0.9972763516921875
	Sentence: The cases are important in documenting that drug-induced dystonias do occur in patients with dementia, that risperidone appears to have contributed to dystonia among elderly patients, and that the categorization of dystonic reactions needs further clarification.
	Gold labels: dystonia
	Manual labels:
	Comments:

	Similar sentence 4: 10682234.8.txt Score: 0.9971789475868953
	Sentence: The present report illustrates a rare case of refractory akathisia after interferon-alpha treatment and also that levodopa treatment would be theoretically and practically useful in reducing the neurotoxicity associated with interferon-alpha.
	Gold labels: akathisia	neurotoxicity
	Manual labels:
	Comments:

	Similar sentence 5: 14530108.8.txt Score: 0.9970357485933207
	Sentence: RTA is one type of nephrotoxicity induced by FK506, and it is reversible in mild cases when appropriately treated.
	Gold labels: RTA	nephrotoxicity
	Manual labels:
	Comments:

	Similar sentence 6: 10225085.3.txt Score: 0.996948406807922
	Sentence: Although the two local anesthetics usually do not cause methemoglobinemia, we suspect that the displacement of lidocaine from protein binding by bupivacaine, in combination with metabolic acidosis and treatment with other oxidants, was the reason for the development of methemoglobinemia.
	Gold labels: methemoglobinemia
	Manual labels:
	Comments:

	Similar sentence 7: 10555917.1.txt Score: 0.9969216973740962
	Sentence: A 66-year-old Japanese woman with severe scleroderma developed anemia and thrombocytopenia due to D-penicillamine (D-Pen) treatment, although the leukopenia was not markedly severe.
	Gold labels: anemia	thrombocytopenia
	Manual labels:
	Comments:

	Similar sentence 8: 1743388.3.txt Score: 0.9968210808583233
	Sentence: This is a report of a renal transplant patient with Pneumocystis pneumonia who developed chemical cellulitis and ulceration following the extravasation of intravenous pentamidine into the soft tissues of the left hand and forearm.
	Gold labels: chemical cellulitis	ulceration
	Manual labels:
	Comments:

	Similar sentence 9: 15162903.8.txt Score: 0.9965744590505017
	Sentence: Clinicians should be aware of the signs and symptoms of neurotoxicity during treatment, as well as predisposing factors that put patients receiving methotrexate at risk for neurotoxic effects.
	Gold labels: neurotoxicity
	Manual labels:
	Comments:

Error in 90:
Comments:

	Similar sentence 0: 16092915.6.txt Score: 0.9919033532932949
	Sentence: CONCLUSIONS: This observation of "on-off" risperidone treatment suggests that risperidone may have worsened both psychiatric and physical manifestations of the mitochondrial disorder in this adolescent.
	Gold labels: psychiatric and physical manifestations
	Manual labels:
	Comments:

	Similar sentence 1: 3797173.6.txt Score: 0.9917912751966157
	Sentence: Rapid heart rates with QRS complexes that are different from the sinus complexes are likely to be ventricular tachycardia.
	Gold labels: 
	Manual labels:
	Comments:

	Similar sentence 2: 15489872.8.txt Score: 0.9916346059623836
	Sentence: The patient's high CMV-DNA viral load became undetectable on leflunomide and foscarnet, but the patient, who had severe graft-versus-host disease (GVHD) of the liver, expired with progressive liver failure and other complications.
	Gold labels: 
	Manual labels:
	Comments:

	Similar sentence 3: 868978.4.txt Score: 0.9910261871040391
	Sentence: The ocular motor disturbances are probably an expression of regional 5-FU neurotoxicity primarily affecting the brain stem.
	Gold labels: neurotoxicity	ocular motor disturbances
	Manual labels:
	Comments:

	Similar sentence 4: 464813.9.txt Score: 0.9908793656511915
	Sentence: The calculated index (posterior tibial/arm pressure) increased from a mean of 0.22 to 0.74 during the eight-month period following discontinuance of methysergide therapy with no recurrence of migraine headaches.
	Gold labels: 
	Manual labels:
	Comments:

	Similar sentence 5: 9847899.2.txt Score: 0.9907822992137754
	Sentence: As this relapse coincided with development of a strong delayed-type hypersensitivity response to tuberculin and improved after treatment with the anti-inflammatory agent oxpentifylline, it was probably caused by restoration of pathogen-specific cellular immunity.
	Gold labels: hypersensitivity response
	Manual labels:
	Comments:

	Similar sentence 6: 2016556.2.txt Score: 0.9907305662869441
	Sentence: Decreased clearance of the compound has been observed in patients with renal insufficiency, and this has been associated with an increase in the ratio of morphine-6-glucuronide to morphine.
	Gold labels: 
	Manual labels:
	Comments:

	Similar sentence 7: 11247558.6.txt Score: 0.990627591020192
	Sentence: We suggest that meloxicam might have intestinal toxic effects when taken in high doses, because of reduced COX-2 selectivity.
	Gold labels: intestinal toxic effects
	Manual labels:
	Comments:

	Similar sentence 8: 1849334.4.txt Score: 0.9904170409151658
	Sentence: The most progressive neurological deficits like severe tetraspastic paresis, were seen only in the nondialytic renal insufficient group (3 patients), while the others had a more benign course of the disease.
	Gold labels: 
	Manual labels:
	Comments:

	Similar sentence 9: 2816647.1.txt Score: 0.989863660146976
	Sentence: MR of the brain was performed in eight patients (mean age, 14.9 years) with osteogenic sarcoma during or after IV treatment with high-dose methotrexate.
	Gold labels: 
	Manual labels:
	Comments:

Error in 71:We describe two patients who developed hypophosphatemia as a consequence of this form of therapy .
Prediction: hypophosphatemia#O
Comments:

	Similar sentence 0: 17381671.3.txt Score: 0.9978704601804119
	Sentence: Based on the Naranjo probability scale, serotonin syndrome was a probable adverse reaction associated with co-administration of citalopram and fentanyl.
	Gold labels: serotonin syndrome
	Manual labels:
	Comments:

	Similar sentence 1: 12452753.6.txt Score: 0.9978301214633191
	Sentence: Capecitabine was discontinued and the allergic reactions resolved after the woman took diphenhydramine for 1 week.
	Gold labels: allergic reactions
	Manual labels:
	Comments:

	Similar sentence 2: 984862.2.txt Score: 0.997775433911848
	Sentence: A second patient with a similar glucose tolerance test result showed postprandial hyperglycemia when treated similarly with betamethasone valerate cream 0.1%.
	Gold labels: postprandial hyperglycemia
	Manual labels:
	Comments:

	Similar sentence 3: 11215836.8.txt Score: 0.9977715405630758
	Sentence: He was diagnosed with possible serotonin syndrome; his symptoms resolved after clomipramine was stopped but before clozapine was restarted eight days later.
	Gold labels: serotonin syndrome
	Manual labels:
	Comments:

